DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME
220614831;08/18/2022 12:00:00 AM;08/17/2020 12:00:00 AM;1200;6;Hollywood  
230617817;11/14/2023 12:00:00 AM;11/13/2020 12:00:00 AM;2015;6;Hollywood  
240604173;01/05/2024 12:00:00 AM;07/09/2020 12:00:00 AM;1230;6;Hollywood  
220604399;01/10/2022 12:00:00 AM;09/19/2020 12:00:00 AM;1600;6;Hollywood  
230606306;02/24/2023 12:00:00 AM;03/20/2020 12:00:00 AM;1800;6;Hollywood  
220610269;05/13/2022 12:00:00 AM;10/08/2020 12:00:00 AM;1925;6;Hollywood  
230605916;02/09/2023 12:00:00 AM;02/09/2020 12:00:00 AM;1415;6;Hollywood  
220619758;12/05/2022 12:00:00 AM;06/15/2020 12:00:00 AM;1500;6;Hollywood  
240604147;01/05/2024 12:00:00 AM;01/01/2020 12:00:00 AM;1405;6;Hollywood  
220606971;03/05/2022 12:00:00 AM;07/02/2020 12:00:00 AM;940;6;Hollywood  
220608736;04/12/2022 12:00:00 AM;10/22/2020 12:00:00 AM;1200;6;Hollywood  
220604806;01/19/2022 12:00:00 AM;03/21/2020 12:00:00 AM;1200;6;Hollywood  
220605785;02/08/2022 12:00:00 AM;10/16/2020 12:00:00 AM;1820;6;Hollywood  
220605303;01/30/2022 12:00:00 AM;01/10/2020 12:00:00 AM;800;6;Hollywood  
230604435;01/11/2023 12:00:00 AM;12/13/2020 12:00:00 AM;2000;6;Hollywood  
220611171;05/31/2022 12:00:00 AM;03/10/2020 12:00:00 AM;1000;6;Hollywood  
220620646;12/27/2022 12:00:00 AM;11/19/2020 12:00:00 AM;1040;6;Hollywood  
230609606;05/09/2023 12:00:00 AM;08/23/2020 12:00:00 AM;1005;6;Hollywood  
220614618;08/13/2022 12:00:00 AM;12/15/2020 12:00:00 AM;2200;6;Hollywood  
220609836;05/03/2022 12:00:00 AM;06/30/2020 12:00:00 AM;1800;6;Hollywood  
230613179;07/25/2023 12:00:00 AM;02/20/2020 12:00:00 AM;1720;6;Hollywood  
220611494;06/08/2022 12:00:00 AM;03/12/2020 12:00:00 AM;1140;6;Hollywood  
230612691;07/18/2023 12:00:00 AM;09/18/2020 12:00:00 AM;342;6;Hollywood  
220619815;12/01/2022 12:00:00 AM;12/08/2020 12:00:00 AM;1;6;Hollywood  
230618170;11/20/2023 12:00:00 AM;01/17/2020 12:00:00 AM;1500;6;Hollywood  
