DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME;Rpt Dist No;Part 1-2;Crm Cd;Crm Cd Desc;Mocodes;Vict Age;Vict Sex;Vict Descent;Premis Cd;Premis Desc;Weapon Used Cd;Weapon Desc;Status;Status Desc;Crm Cd 1
221607555;04/22/2022 12:00:00 AM;08/01/2020 12:00:00 AM;1200;16;Foothill   ;1612;2;354;THEFT OF IDENTITY                                       ;0928                                   ;40;F;H;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
221609983;06/30/2022 12:00:00 AM;08/01/2020 12:00:00 AM;1200;16;Foothill   ;1668;2;930;CRIMINAL THREATS - NO WEAPON DISPLAYED                  ;0421 2021                              ;49;F;W;501;SINGLE FAMILY DWELLING                      ;511;VERBAL THREAT                                 ;AO;Adult Other ;930
221615196;12/16/2022 12:00:00 AM;12/01/2020 12:00:00 AM;1;16;Foothill   ;1602;2;354;THEFT OF IDENTITY                                       ;1501                                   ;22;M;W;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
221606564;03/21/2022 12:00:00 AM;07/17/2020 12:00:00 AM;800;16;Foothill   ;1698;2;649;DOCUMENT FORGERY / STOLEN FELONY                        ;0924 1822                              ;37;M;X;203;OTHER BUSINESS                              ;;;IC;Invest Cont ;649
231613896;11/09/2023 12:00:00 AM;04/01/2020 12:00:00 AM;1159;16;Foothill   ;1677;2;354;THEFT OF IDENTITY                                       ;1822 0930                              ;33;F;W;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
221604268;01/07/2022 12:00:00 AM;02/19/2020 12:00:00 AM;1300;16;Foothill   ;1667;2;354;THEFT OF IDENTITY                                       ;0377 1822                              ;44;M;W;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
221605629;02/21/2022 12:00:00 AM;10/31/2020 12:00:00 AM;2000;16;Foothill   ;1601;1;121;RAPE, FORCIBLE                                          ;0558 0913 1258 0527                    ;11;F;H;501;SINGLE FAMILY DWELLING                      ;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont ;121
221605942;03/02/2022 12:00:00 AM;08/27/2020 12:00:00 AM;800;16;Foothill   ;1613;2;810;SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ;0533 1814 0522 0527 1259 0913          ;14;F;H;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;810
231613511;10/30/2023 12:00:00 AM;05/05/2020 12:00:00 AM;525;16;Foothill   ;1641;2;354;THEFT OF IDENTITY                                       ;1822 0928 0377                         ;22;M;H;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
221606629;03/22/2022 12:00:00 AM;05/01/2020 12:00:00 AM;1125;16;Foothill   ;1664;2;354;THEFT OF IDENTITY                                       ;0928 0922 0930                         ;43;F;H;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
211611263;08/31/2021 12:00:00 AM;02/10/2020 12:00:00 AM;2300;16;Foothill   ;1645;2;813;CHILD ANNOYING (17YRS & UNDER)                          ;1259 0913 0500                         ;16;F;H;501;SINGLE FAMILY DWELLING                      ;511;VERBAL THREAT                                 ;AO;Adult Other ;813
221608687;05/24/2022 12:00:00 AM;03/30/2020 12:00:00 AM;1200;16;Foothill   ;1605;1;815;SEXUAL PENETRATION W/FOREIGN OBJECT                     ;1258 0913 0515                         ;6;F;H;501;SINGLE FAMILY DWELLING                      ;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other ;812
201605651;02/09/2020 12:00:00 AM;01/30/2020 12:00:00 AM;44;16;Foothill   ;1601;1;648;ARSON                                                   ;;55;M;B;101;STREET                                      ;;;IC;Invest Cont ;648
221614254;11/13/2022 12:00:00 AM;01/01/2020 12:00:00 AM;1;16;Foothill   ;1643;2;354;THEFT OF IDENTITY                                       ;1822 0917                              ;22;F;H;751;WEBSITE                                     ;;;IC;Invest Cont ;354
221606131;03/07/2022 12:00:00 AM;02/09/2020 12:00:00 AM;900;16;Foothill   ;1693;2;354;THEFT OF IDENTITY                                       ;0929                                   ;57;F;H;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;354
221607647;04/25/2022 12:00:00 AM;08/29/2020 12:00:00 AM;2300;16;Foothill   ;1613;2;810;SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ;0533 0522 0540 1259 1251 0913          ;12;F;H;501;SINGLE FAMILY DWELLING                      ;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);JO;Juv Other   ;810
231609210;06/15/2023 12:00:00 AM;05/09/2020 12:00:00 AM;905;16;Foothill   ;1695;2;354;THEFT OF IDENTITY                                       ;0377 0922 0929 0930 0935               ;20;M;W;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
231614496;11/29/2023 12:00:00 AM;11/27/2020 12:00:00 AM;1900;16;Foothill   ;1685;1;820;ORAL COPULATION                                         ;1501                                   ;14;F;H;109;PARK/PLAYGROUND                             ;500;UNKNOWN WEAPON/OTHER WEAPON                   ;IC;Invest Cont ;820
221612433;09/15/2022 12:00:00 AM;12/03/2020 12:00:00 AM;800;16;Foothill   ;1672;1;341;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;0344 1402                              ;74;M;W;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;341
231611191;08/17/2023 12:00:00 AM;03/01/2020 12:00:00 AM;1200;16;Foothill   ;1642;2;354;THEFT OF IDENTITY                                       ;1202 1822                              ;65;M;H;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
221611892;08/26/2022 12:00:00 AM;04/15/2020 12:00:00 AM;1200;16;Foothill   ;1605;1;815;SEXUAL PENETRATION W/FOREIGN OBJECT                     ;0913 1814 0515                         ;13;F;W;501;SINGLE FAMILY DWELLING                      ;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other ;815
211605013;02/03/2021 12:00:00 AM;12/18/2020 12:00:00 AM;1105;16;Foothill   ;1664;2;354;THEFT OF IDENTITY                                       ;1822                                   ;36;F;H;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
221607970;12/28/2021 12:00:00 AM;10/15/2020 12:00:00 AM;1340;16;Foothill   ;1622;2;354;THEFT OF IDENTITY                                       ;;32;M;H;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
221614062;11/07/2022 12:00:00 AM;02/26/2020 12:00:00 AM;1200;16;Foothill   ;1675;2;354;THEFT OF IDENTITY                                       ;1822                                   ;48;F;H;504;OTHER RESIDENCE                             ;;;IC;Invest Cont ;354
