DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME;Rpt Dist No
221607555;04/22/2022 12:00:00 AM;08/01/2020 12:00:00 AM;1200;16;Foothill   ;1612
221609983;06/30/2022 12:00:00 AM;08/01/2020 12:00:00 AM;1200;16;Foothill   ;1668
221615196;12/16/2022 12:00:00 AM;12/01/2020 12:00:00 AM;1;16;Foothill   ;1602
221606564;03/21/2022 12:00:00 AM;07/17/2020 12:00:00 AM;800;16;Foothill   ;1698
231613896;11/09/2023 12:00:00 AM;04/01/2020 12:00:00 AM;1159;16;Foothill   ;1677
221604268;01/07/2022 12:00:00 AM;02/19/2020 12:00:00 AM;1300;16;Foothill   ;1667
221605629;02/21/2022 12:00:00 AM;10/31/2020 12:00:00 AM;2000;16;Foothill   ;1601
221605942;03/02/2022 12:00:00 AM;08/27/2020 12:00:00 AM;800;16;Foothill   ;1613
231613511;10/30/2023 12:00:00 AM;05/05/2020 12:00:00 AM;525;16;Foothill   ;1641
221606629;03/22/2022 12:00:00 AM;05/01/2020 12:00:00 AM;1125;16;Foothill   ;1664
211611263;08/31/2021 12:00:00 AM;02/10/2020 12:00:00 AM;2300;16;Foothill   ;1645
221608687;05/24/2022 12:00:00 AM;03/30/2020 12:00:00 AM;1200;16;Foothill   ;1605
201605651;02/09/2020 12:00:00 AM;01/30/2020 12:00:00 AM;44;16;Foothill   ;1601
221614254;11/13/2022 12:00:00 AM;01/01/2020 12:00:00 AM;1;16;Foothill   ;1643
221606131;03/07/2022 12:00:00 AM;02/09/2020 12:00:00 AM;900;16;Foothill   ;1693
221607647;04/25/2022 12:00:00 AM;08/29/2020 12:00:00 AM;2300;16;Foothill   ;1613
231609210;06/15/2023 12:00:00 AM;05/09/2020 12:00:00 AM;905;16;Foothill   ;1695
231614496;11/29/2023 12:00:00 AM;11/27/2020 12:00:00 AM;1900;16;Foothill   ;1685
221612433;09/15/2022 12:00:00 AM;12/03/2020 12:00:00 AM;800;16;Foothill   ;1672
231611191;08/17/2023 12:00:00 AM;03/01/2020 12:00:00 AM;1200;16;Foothill   ;1642
221611892;08/26/2022 12:00:00 AM;04/15/2020 12:00:00 AM;1200;16;Foothill   ;1605
211605013;02/03/2021 12:00:00 AM;12/18/2020 12:00:00 AM;1105;16;Foothill   ;1664
221607970;12/28/2021 12:00:00 AM;10/15/2020 12:00:00 AM;1340;16;Foothill   ;1622
221614062;11/07/2022 12:00:00 AM;02/26/2020 12:00:00 AM;1200;16;Foothill   ;1675
221607048;04/05/2022 12:00:00 AM;12/01/2020 12:00:00 AM;1500;16;Foothill   ;1658
231604399;01/12/2023 12:00:00 AM;01/12/2020 12:00:00 AM;850;16;Foothill   ;1621
221611890;08/30/2022 12:00:00 AM;02/09/2020 12:00:00 AM;1;16;Foothill   ;1654
221607826;05/01/2022 12:00:00 AM;04/01/2020 12:00:00 AM;1400;16;Foothill   ;1617
231611060;08/14/2023 12:00:00 AM;07/06/2020 12:00:00 AM;655;16;Foothill   ;1678
231609173;06/14/2023 12:00:00 AM;10/15/2020 12:00:00 AM;1200;16;Foothill   ;1659
231613718;11/03/2023 12:00:00 AM;12/20/2020 12:00:00 AM;1200;16;Foothill   ;1637
221610929;07/30/2022 12:00:00 AM;07/01/2020 12:00:00 AM;1200;16;Foothill   ;1695
221612872;09/30/2022 12:00:00 AM;09/29/2020 12:00:00 AM;1130;16;Foothill   ;1612
221614389;11/18/2022 12:00:00 AM;11/17/2020 12:00:00 AM;1015;16;Foothill   ;1641
221604195;01/05/2022 12:00:00 AM;02/10/2020 12:00:00 AM;1230;16;Foothill   ;1622
221614385;11/19/2022 12:00:00 AM;11/18/2020 12:00:00 AM;2130;16;Foothill   ;1684
221609445;06/13/2022 12:00:00 AM;01/01/2020 12:00:00 AM;1200;16;Foothill   ;1664
231608256;05/15/2023 12:00:00 AM;05/01/2020 12:00:00 AM;1;16;Foothill   ;1621
221605837;02/28/2022 12:00:00 AM;12/07/2020 12:00:00 AM;1800;16;Foothill   ;1638
211604046;01/03/2021 12:00:00 AM;12/31/2020 12:00:00 AM;1800;16;Foothill   ;1663
221608601;05/20/2022 12:00:00 AM;05/09/2020 12:00:00 AM;1100;16;Foothill   ;1656
231607632;04/13/2023 12:00:00 AM;06/13/2020 12:00:00 AM;2150;16;Foothill   ;1637
231609643;06/29/2023 12:00:00 AM;11/26/2020 12:00:00 AM;1015;16;Foothill   ;1641
231604861;01/28/2023 12:00:00 AM;08/01/2020 12:00:00 AM;1;16;Foothill   ;1658
221615545;12/28/2022 12:00:00 AM;10/02/2020 12:00:00 AM;1200;16;Foothill   ;1677
221607787;04/28/2022 12:00:00 AM;03/04/2020 12:00:00 AM;1400;16;Foothill   ;1621
211604234;01/09/2021 12:00:00 AM;12/19/2020 12:00:00 AM;1750;16;Foothill   ;1684
