DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME;Rpt Dist No;Part 1-2;Crm Cd;Crm Cd Desc;Mocodes;Vict Age;Vict Sex;Vict Descent;Premis Cd;Premis Desc;Weapon Used Cd;Weapon Desc;Status;Status Desc;Crm Cd 1
220508440;04/27/2022 12:00:00 AM;07/07/2020 12:00:00 AM;1200;5;Harbor     ;585;1;341;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;0344 1202 1606                         ;64;M;H;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;341
230513434;09/12/2023 12:00:00 AM;09/01/2020 12:00:00 AM;1;5;Harbor     ;526;2;662;BUNCO, GRAND THEFT                                      ;0344 0701 0800                         ;54;F;H;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;662
220514938;10/16/2022 12:00:00 AM;07/01/2020 12:00:00 AM;1800;5;Harbor     ;504;2;812;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER);0522 0556 1259 0913 0448               ;12;F;H;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other ;812
220504655;01/20/2022 12:00:00 AM;01/19/2020 12:00:00 AM;2200;5;Harbor     ;551;1;331;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     ;0385 1300                              ;0;X;X;729;SPECIALTY SCHOOL/OTHER                      ;;;IC;Invest Cont ;331
230507674;04/11/2023 12:00:00 AM;07/30/2020 12:00:00 AM;835;5;Harbor     ;585;2;354;THEFT OF IDENTITY                                       ;0922 0929 0377                         ;28;M;H;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;354
230510455;06/28/2023 12:00:00 AM;06/01/2020 12:00:00 AM;1;5;Harbor     ;565;2;354;THEFT OF IDENTITY                                       ;0377 0929                              ;36;F;B;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;354
220509276;05/18/2022 12:00:00 AM;10/26/2020 12:00:00 AM;1;5;Harbor     ;507;2;653;CREDIT CARDS, FRAUD USE ($950.01 & OVER)                ;0930 1822                              ;64;F;O;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;653
220507155;03/24/2022 12:00:00 AM;12/01/2020 12:00:00 AM;1;5;Harbor     ;563;1;230;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;0430 0552 0602 0913 1100               ;26;F;H;103;ALLEY                                       ;106;UNKNOWN FIREARM                               ;IC;Invest Cont ;230
220509193;05/17/2022 12:00:00 AM;10/01/2020 12:00:00 AM;1200;5;Harbor     ;528;1;510;VEHICLE - STOLEN                                        ;;0;;;101;STREET                                      ;;;IC;Invest Cont ;510
220506019;02/01/2022 12:00:00 AM;02/01/2020 12:00:00 AM;1200;5;Harbor     ;507;2;627;CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT                 ;0913 0602 0557 0400 0416 1258          ;12;M;H;501;SINGLE FAMILY DWELLING                      ;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other ;627
220504793;01/22/2022 12:00:00 AM;04/01/2020 12:00:00 AM;935;5;Harbor     ;532;2;956;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 ;1906                                   ;28;F;H;710;OTHER PREMISE                               ;;;IC;Invest Cont ;956
230507982;04/20/2023 12:00:00 AM;04/01/2020 12:00:00 AM;1;5;Harbor     ;563;2;624;BATTERY - SIMPLE ASSAULT                                ;0913 1259                              ;14;F;W;501;SINGLE FAMILY DWELLING                      ;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);JO;Juv Other   ;624
