DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME;Rpt Dist No;Part 1-2;Crm Cd;Crm Cd Desc;Mocodes;Vict Age;Vict Sex;Vict Descent;Premis Cd;Premis Desc;Weapon Used Cd;Weapon Desc;Status;Status Desc;Crm Cd 1
200412582;09/09/2020 12:00:00 AM;09/09/2020 12:00:00 AM;630;4;Hollenbeck ;413;1;510;VEHICLE - STOLEN                                        ;;0;;;101;STREET                                      ;;;IC;Invest Cont ;510
230406865;03/28/2023 12:00:00 AM;06/28/2020 12:00:00 AM;1250;4;Hollenbeck ;478;2;354;THEFT OF IDENTITY                                       ;0100                                   ;34;F;B;504;OTHER RESIDENCE                             ;;;IC;Invest Cont ;354
220409258;05/29/2022 12:00:00 AM;03/29/2020 12:00:00 AM;1315;4;Hollenbeck ;467;2;354;THEFT OF IDENTITY                                       ;0100                                   ;16;M;H;504;OTHER RESIDENCE                             ;;;IC;Invest Cont ;354
230404996;01/30/2023 12:00:00 AM;08/23/2020 12:00:00 AM;800;4;Hollenbeck ;488;2;649;DOCUMENT FORGERY / STOLEN FELONY                        ;0601 1202 0344 0360 0913               ;78;F;H;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;649
220407814;04/22/2022 12:00:00 AM;04/01/2020 12:00:00 AM;5;4;Hollenbeck ;459;1;121;RAPE, FORCIBLE                                          ;1258 0527                              ;10;F;H;501;SINGLE FAMILY DWELLING                      ;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont ;121
220404852;01/28/2022 12:00:00 AM;12/27/2020 12:00:00 AM;1200;4;Hollenbeck ;439;2;946;OTHER MISCELLANEOUS CRIME                               ;1501                                   ;0;M;H;501;SINGLE FAMILY DWELLING                      ;511;VERBAL THREAT                                 ;IC;Invest Cont ;946
230413909;10/30/2023 12:00:00 AM;10/30/2020 12:00:00 AM;830;4;Hollenbeck ;497;2;354;THEFT OF IDENTITY                                       ;0100                                   ;22;F;H;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;354
230409692;06/24/2023 12:00:00 AM;06/24/2020 12:00:00 AM;1620;4;Hollenbeck ;429;2;354;THEFT OF IDENTITY                                       ;0929 1822                              ;38;F;H;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;354
220411016;07/18/2022 12:00:00 AM;06/22/2020 12:00:00 AM;1300;4;Hollenbeck ;439;1;310;BURGLARY                                                ;0344                                   ;68;M;H;221;PUBLIC STORAGE                              ;;;IC;Invest Cont ;310
220407289;04/06/2022 12:00:00 AM;09/01/2020 12:00:00 AM;1130;4;Hollenbeck ;464;2;860;BATTERY WITH SEXUAL CONTACT                             ;0500 0522 1822 0400                    ;12;F;H;102;SIDEWALK                                    ;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont ;860
220413587;09/26/2022 12:00:00 AM;09/01/2020 12:00:00 AM;300;4;Hollenbeck ;459;1;121;RAPE, FORCIBLE                                          ;2000 0913 0527 1813 1243 2002 0400     ;50;F;H;501;SINGLE FAMILY DWELLING                      ;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont ;121
200406391;03/02/2020 12:00:00 AM;03/01/2020 12:00:00 AM;1430;4;Hollenbeck ;407;1;310;BURGLARY                                                ;0344 1607                              ;27;M;W;221;PUBLIC STORAGE                              ;;;IC;Invest Cont ;310
220407062;03/31/2022 12:00:00 AM;10/15/2020 12:00:00 AM;1200;4;Hollenbeck ;421;2;649;DOCUMENT FORGERY / STOLEN FELONY                        ;0601 1822 0923                         ;56;F;H;602;BANK                                        ;;;IC;Invest Cont ;649
220416014;12/05/2022 12:00:00 AM;04/29/2020 12:00:00 AM;1;4;Hollenbeck ;466;2;354;THEFT OF IDENTITY                                       ;1202 0100                              ;75;M;H;504;OTHER RESIDENCE                             ;;;IC;Invest Cont ;354
220414491;10/20/2022 12:00:00 AM;10/19/2020 12:00:00 AM;2000;4;Hollenbeck ;442;1;510;VEHICLE - STOLEN                                        ;;0;;;101;STREET                                      ;;;IC;Invest Cont ;510
230415586;12/21/2023 12:00:00 AM;10/01/2020 12:00:00 AM;900;4;Hollenbeck ;489;2;812;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER);;11;F;H;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont ;812
230406446;03/16/2023 12:00:00 AM;03/15/2020 12:00:00 AM;1620;4;Hollenbeck ;454;2;354;THEFT OF IDENTITY                                       ;;48;F;H;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
220410114;06/22/2022 12:00:00 AM;01/01/2020 12:00:00 AM;1220;4;Hollenbeck ;479;2;354;THEFT OF IDENTITY                                       ;0100                                   ;23;F;H;101;STREET                                      ;;;IC;Invest Cont ;354
