DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME;Rpt Dist No
200412582;09/09/2020 12:00:00 AM;09/09/2020 12:00:00 AM;630;4;Hollenbeck ;413
230406865;03/28/2023 12:00:00 AM;06/28/2020 12:00:00 AM;1250;4;Hollenbeck ;478
220409258;05/29/2022 12:00:00 AM;03/29/2020 12:00:00 AM;1315;4;Hollenbeck ;467
230404996;01/30/2023 12:00:00 AM;08/23/2020 12:00:00 AM;800;4;Hollenbeck ;488
220407814;04/22/2022 12:00:00 AM;04/01/2020 12:00:00 AM;5;4;Hollenbeck ;459
220404852;01/28/2022 12:00:00 AM;12/27/2020 12:00:00 AM;1200;4;Hollenbeck ;439
230413909;10/30/2023 12:00:00 AM;10/30/2020 12:00:00 AM;830;4;Hollenbeck ;497
230409692;06/24/2023 12:00:00 AM;06/24/2020 12:00:00 AM;1620;4;Hollenbeck ;429
220411016;07/18/2022 12:00:00 AM;06/22/2020 12:00:00 AM;1300;4;Hollenbeck ;439
220407289;04/06/2022 12:00:00 AM;09/01/2020 12:00:00 AM;1130;4;Hollenbeck ;464
220413587;09/26/2022 12:00:00 AM;09/01/2020 12:00:00 AM;300;4;Hollenbeck ;459
200406391;03/02/2020 12:00:00 AM;03/01/2020 12:00:00 AM;1430;4;Hollenbeck ;407
220407062;03/31/2022 12:00:00 AM;10/15/2020 12:00:00 AM;1200;4;Hollenbeck ;421
220416014;12/05/2022 12:00:00 AM;04/29/2020 12:00:00 AM;1;4;Hollenbeck ;466
220414491;10/20/2022 12:00:00 AM;10/19/2020 12:00:00 AM;2000;4;Hollenbeck ;442
230415586;12/21/2023 12:00:00 AM;10/01/2020 12:00:00 AM;900;4;Hollenbeck ;489
230406446;03/16/2023 12:00:00 AM;03/15/2020 12:00:00 AM;1620;4;Hollenbeck ;454
220410114;06/22/2022 12:00:00 AM;01/01/2020 12:00:00 AM;1220;4;Hollenbeck ;479
220406802;03/25/2022 12:00:00 AM;03/24/2020 12:00:00 AM;245;4;Hollenbeck ;411
230406805;03/26/2023 12:00:00 AM;02/10/2020 12:00:00 AM;1400;4;Hollenbeck ;462
210404363;01/11/2021 12:00:00 AM;12/18/2020 12:00:00 AM;1230;4;Hollenbeck ;478
220404154;01/05/2022 12:00:00 AM;12/31/2020 12:00:00 AM;2320;4;Hollenbeck ;448
220404758;01/25/2022 12:00:00 AM;04/12/2020 12:00:00 AM;1800;4;Hollenbeck ;416
220412117;08/15/2022 12:00:00 AM;06/03/2020 12:00:00 AM;5;4;Hollenbeck ;427
220416185;12/09/2022 12:00:00 AM;02/09/2020 12:00:00 AM;1710;4;Hollenbeck ;462
230405444;02/14/2023 12:00:00 AM;02/13/2020 12:00:00 AM;1500;4;Hollenbeck ;406
220408716;05/17/2022 12:00:00 AM;08/15/2020 12:00:00 AM;900;4;Hollenbeck ;467
220404739;01/24/2022 12:00:00 AM;06/13/2020 12:00:00 AM;1330;4;Hollenbeck ;417
210404695;01/19/2021 12:00:00 AM;06/01/2020 12:00:00 AM;1200;4;Hollenbeck ;464
230404990;01/30/2023 12:00:00 AM;03/16/2020 12:00:00 AM;800;4;Hollenbeck ;488
220409179;05/28/2022 12:00:00 AM;07/09/2020 12:00:00 AM;5;4;Hollenbeck ;423
230407784;04/18/2023 12:00:00 AM;06/02/2020 12:00:00 AM;1;4;Hollenbeck ;464
220414662;10/25/2022 12:00:00 AM;12/04/2020 12:00:00 AM;2200;4;Hollenbeck ;479
230409872;03/28/2023 12:00:00 AM;02/17/2020 12:00:00 AM;935;4;Hollenbeck ;488
