DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME;Rpt Dist No;Part 1-2;Crm Cd;Crm Cd Desc;Mocodes;Vict Age;Vict Sex;Vict Descent;Premis Cd;Premis Desc;Weapon Used Cd;Weapon Desc;Status;Status Desc;Crm Cd 1
211904005;12/31/2020 12:00:00 AM;12/31/2020 12:00:00 AM;1220;19;Mission    ;1974;2;624;BATTERY - SIMPLE ASSAULT                                ;0416                                   ;26;M;H;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont ;624
221908151;04/12/2022 12:00:00 AM;10/01/2020 12:00:00 AM;1;19;Mission    ;1988;1;821;SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH ;0913 2024 1817 0360 1258 0507          ;8;F;H;501;SINGLE FAMILY DWELLING                      ;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont ;812
231907172;03/21/2023 12:00:00 AM;03/15/2020 12:00:00 AM;1200;19;Mission    ;1983;2;812;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER);1259 0913 1817 1801 0503               ;12;F;H;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other ;812
231915767;10/25/2023 12:00:00 AM;09/02/2020 12:00:00 AM;1;19;Mission    ;1985;2;354;THEFT OF IDENTITY                                       ;0917                                   ;15;F;H;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
231906599;03/03/2023 12:00:00 AM;01/14/2020 12:00:00 AM;1335;19;Mission    ;1902;2;354;THEFT OF IDENTITY                                       ;0928                                   ;35;M;O;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
231912127;07/26/2023 12:00:00 AM;01/26/2020 12:00:00 AM;1735;19;Mission    ;1913;2;354;THEFT OF IDENTITY                                       ;0923                                   ;46;F;H;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
221917823;12/12/2022 12:00:00 AM;04/05/2020 12:00:00 AM;1550;19;Mission    ;1921;2;354;THEFT OF IDENTITY                                       ;;23;M;B;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
221909318;05/09/2022 12:00:00 AM;05/08/2020 12:00:00 AM;1120;19;Mission    ;1954;1;330;BURGLARY FROM VEHICLE                                   ;1612 0385                              ;36;M;H;101;STREET                                      ;;;IC;Invest Cont ;330
221917253;11/25/2022 12:00:00 AM;06/15/2020 12:00:00 AM;1200;19;Mission    ;1981;1;420;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;;0;;;101;STREET                                      ;;;IC;Invest Cont ;420
221905982;02/20/2022 12:00:00 AM;02/20/2020 12:00:00 AM;1500;19;Mission    ;1977;2;901;VIOLATION OF RESTRAINING ORDER                          ;1259 2038                              ;15;F;H;101;STREET                                      ;;;AA;Adult Arrest;901
