DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME;Rpt Dist No;Part 1-2;Crm Cd;Crm Cd Desc;Mocodes;Vict Age;Vict Sex;Vict Descent;Premis Cd;Premis Desc;Weapon Used Cd;Weapon Desc;Status;Status Desc;Crm Cd 1
221105176;02/02/2022 12:00:00 AM;02/09/2020 12:00:00 AM;1200;11;Northeast  ;1132;2;930;CRIMINAL THREATS - NO WEAPON DISPLAYED                  ;1912 0913                              ;30;F;W;501;SINGLE FAMILY DWELLING                      ;500;UNKNOWN WEAPON/OTHER WEAPON                   ;AO;Adult Other ;930
231108757;05/09/2023 12:00:00 AM;05/08/2020 12:00:00 AM;2023;11;Northeast  ;1101;1;330;BURGLARY FROM VEHICLE                                   ;0344 1302 1307                         ;20;M;A;108;PARKING LOT                                 ;;;IC;Invest Cont ;330
231115685;11/12/2023 12:00:00 AM;11/12/2020 12:00:00 AM;1430;11;Northeast  ;1123;1;440;THEFT PLAIN - PETTY ($950 & UNDER)                      ;0344                                   ;27;M;W;108;PARKING LOT                                 ;;;IC;Invest Cont ;440
221110929;06/28/2022 12:00:00 AM;06/27/2020 12:00:00 AM;1945;11;Northeast  ;1113;1;330;BURGLARY FROM VEHICLE                                   ;0344                                   ;34;F;W;108;PARKING LOT                                 ;;;IC;Invest Cont ;330
221110658;06/21/2022 12:00:00 AM;02/28/2020 12:00:00 AM;1625;11;Northeast  ;1144;2;354;THEFT OF IDENTITY                                       ;0100 0928                              ;39;M;C;750;CYBERSPACE                                  ;;;IC;Invest Cont ;354
221105273;02/04/2022 12:00:00 AM;02/02/2020 12:00:00 AM;1200;11;Northeast  ;1179;1;420;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;;0;;;101;STREET                                      ;;;IC;Invest Cont ;420
231105297;02/03/2023 12:00:00 AM;07/27/2020 12:00:00 AM;1000;11;Northeast  ;1152;2;354;THEFT OF IDENTITY                                       ;1822 1501 0100                         ;25;M;W;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;354
211104796;01/24/2021 12:00:00 AM;01/23/2020 12:00:00 AM;800;11;Northeast  ;1172;2;745;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                ;0329                                   ;0;X;X;203;OTHER BUSINESS                              ;;;IC;Invest Cont ;745
201112065;07/31/2020 12:00:00 AM;07/30/2020 12:00:00 AM;2030;11;Northeast  ;1161;1;510;VEHICLE - STOLEN                                        ;;0;;;101;STREET                                      ;;;AA;Adult Arrest;510
221106692;03/14/2022 12:00:00 AM;01/01/2020 12:00:00 AM;1510;11;Northeast  ;1124;2;354;THEFT OF IDENTITY                                       ;1822                                   ;26;M;H;725;GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY &;;;IC;Invest Cont ;354
231106607;03/08/2023 12:00:00 AM;03/01/2020 12:00:00 AM;1200;11;Northeast  ;1152;2;860;BATTERY WITH SEXUAL CONTACT                             ;1258 2151 1815 0400 0448               ;10;F;W;720;JUNIOR HIGH SCHOOL                          ;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont ;860
231107419;03/30/2023 12:00:00 AM;08/08/2020 12:00:00 AM;2346;11;Northeast  ;1122;2;624;BATTERY - SIMPLE ASSAULT                                ;1278 0400 1310                         ;40;M;H;122;VEHICLE, PASSENGER/TRUCK                    ;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont ;624
