DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME;Rpt Dist No;Part 1-2;Crm Cd;Crm Cd Desc;Mocodes;Vict Age;Vict Sex;Vict Descent;Premis Cd;Premis Desc;Weapon Used Cd;Weapon Desc;Status;Status Desc;Crm Cd 1
221404806;01/19/2022 12:00:00 AM;01/18/2020 12:00:00 AM;1600;14;Pacific    ;1446;1;420;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;;0;;;101;STREET                                      ;;;IC;Invest Cont ;420
211404152;01/04/2021 12:00:00 AM;12/28/2020 12:00:00 AM;1600;14;Pacific    ;1463;1;310;BURGLARY                                                ;0397 0344                              ;44;F;H;221;PUBLIC STORAGE                              ;;;IC;Invest Cont ;310
231420506;11/06/2023 12:00:00 AM;04/02/2020 12:00:00 AM;1825;14;Pacific    ;1445;2;354;THEFT OF IDENTITY                                       ;0928                                   ;60;F;B;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;354
221412410;06/15/2022 12:00:00 AM;11/12/2020 12:00:00 AM;1700;14;Pacific    ;1444;1;420;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;;0;;;101;STREET                                      ;;;IC;Invest Cont ;420
201410122;04/28/2020 12:00:00 AM;04/28/2020 12:00:00 AM;100;14;Pacific    ;1406;1;510;VEHICLE - STOLEN                                        ;;0;;;101;STREET                                      ;;;IC;Invest Cont ;510
231421770;12/13/2023 12:00:00 AM;03/13/2020 12:00:00 AM;1200;14;Pacific    ;1464;1;440;THEFT PLAIN - PETTY ($950 & UNDER)                      ;0344                                   ;45;M;O;203;OTHER BUSINESS                              ;;;IC;Invest Cont ;440
231420590;11/20/2023 12:00:00 AM;11/20/2020 12:00:00 AM;1000;14;Pacific    ;1413;2;956;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 ;1906                                   ;37;M;W;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;956
221404672;01/11/2022 12:00:00 AM;05/01/2020 12:00:00 AM;1200;14;Pacific    ;1405;2;354;THEFT OF IDENTITY                                       ;1900                                   ;54;F;A;116;OTHER/OUTSIDE                               ;;;IC;Invest Cont ;354
231411022;05/22/2020 12:00:00 AM;05/22/2020 12:00:00 AM;1140;14;Pacific    ;1494;2;626;INTIMATE PARTNER - SIMPLE ASSAULT                       ;2000                                   ;22;M;B;212;TRANSPORTATION FACILITY (AIRPORT)           ;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont ;626
221404880;01/20/2022 12:00:00 AM;12/01/2020 12:00:00 AM;1430;14;Pacific    ;1464;1;480;BIKE - STOLEN                                           ;0344                                   ;32;M;W;707;GARAGE/CARPORT                              ;;;IC;Invest Cont ;480
221418972;11/15/2022 12:00:00 AM;11/15/2020 12:00:00 AM;1200;14;Pacific    ;1414;2;626;INTIMATE PARTNER - SIMPLE ASSAULT                       ;2000 0400 1813 0552                    ;28;F;H;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other ;626
231404594;12/31/2022 12:00:00 AM;03/04/2020 12:00:00 AM;2;14;Pacific    ;1454;2;354;THEFT OF IDENTITY                                       ;0377                                   ;54;M;O;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
221411398;05/24/2022 12:00:00 AM;03/30/2020 12:00:00 AM;1640;14;Pacific    ;1428;2;354;THEFT OF IDENTITY                                       ;1822                                   ;50;F;H;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
221409128;04/12/2022 12:00:00 AM;04/20/2020 12:00:00 AM;950;14;Pacific    ;1444;2;886;DISTURBING THE PEACE                                    ;1501                                   ;18;F;B;501;SINGLE FAMILY DWELLING                      ;;;AO;Adult Other ;886
211409233;04/06/2021 12:00:00 AM;08/19/2020 12:00:00 AM;1730;14;Pacific    ;1496;1;510;VEHICLE - STOLEN                                        ;;0;;;707;GARAGE/CARPORT                              ;;;IC;Invest Cont ;510
231412171;06/09/2023 12:00:00 AM;06/01/2020 12:00:00 AM;1200;14;Pacific    ;1435;2;930;CRIMINAL THREATS - NO WEAPON DISPLAYED                  ;0443                                   ;-2;M;W;501;SINGLE FAMILY DWELLING                      ;511;VERBAL THREAT                                 ;IC;Invest Cont ;930
221417043;09/28/2022 12:00:00 AM;12/01/2020 12:00:00 AM;1;14;Pacific    ;1428;2;662;BUNCO, GRAND THEFT                                      ;0701                                   ;77;M;O;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;662
211408216;03/16/2021 12:00:00 AM;12/28/2020 12:00:00 AM;1100;14;Pacific    ;1496;2;668;EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)              ;;0;;;203;OTHER BUSINESS                              ;;;IC;Invest Cont ;668
211420201;08/03/2020 12:00:00 AM;08/03/2020 12:00:00 AM;1435;14;Pacific    ;1463;1;440;THEFT PLAIN - PETTY ($950 & UNDER)                      ;0344                                   ;31;F;W;108;PARKING LOT                                 ;;;IC;Invest Cont ;440
