DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME;Rpt Dist No;Part 1-2;Crm Cd;Crm Cd Desc;Mocodes;Vict Age;Vict Sex;Vict Descent;Premis Cd;Premis Desc;Weapon Used Cd;Weapon Desc;Status;Status Desc;Crm Cd 1
232112438;08/03/2023 12:00:00 AM;07/01/2020 12:00:00 AM;1200;21;Topanga    ;2157;2;354;THEFT OF IDENTITY                                       ;1822 0929 0930                         ;46;M;B;751;WEBSITE                                     ;;;IC;Invest Cont ;354
222106031;02/23/2022 12:00:00 AM;08/14/2020 12:00:00 AM;1300;21;Topanga    ;2113;2;668;EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)              ;;0;;;203;OTHER BUSINESS                              ;;;IC;Invest Cont ;668
232112058;07/25/2023 12:00:00 AM;04/26/2020 12:00:00 AM;2110;21;Topanga    ;2198;2;956;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 ;1906                                   ;17;F;W;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;956
222114709;09/26/2022 12:00:00 AM;06/19/2020 12:00:00 AM;600;21;Topanga    ;2113;2;354;THEFT OF IDENTITY                                       ;1822                                   ;42;F;B;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
232110833;06/23/2023 12:00:00 AM;06/01/2020 12:00:00 AM;1200;21;Topanga    ;2146;2;354;THEFT OF IDENTITY                                       ;1822 0930                              ;33;F;A;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;354
232117501;12/09/2023 12:00:00 AM;05/10/2020 12:00:00 AM;1645;21;Topanga    ;2157;2;354;THEFT OF IDENTITY                                       ;0929 0928                              ;25;M;O;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;354
232110125;06/08/2023 12:00:00 AM;04/27/2020 12:00:00 AM;1400;21;Topanga    ;2175;2;624;BATTERY - SIMPLE ASSAULT                                ;1218 2004 1202 0416 0429 1822          ;81;M;W;108;PARKING LOT                                 ;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other ;624
222104573;01/18/2022 12:00:00 AM;08/07/2020 12:00:00 AM;1155;21;Topanga    ;2169;2;354;THEFT OF IDENTITY                                       ;0922 1822                              ;38;F;W;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
232104037;01/02/2023 12:00:00 AM;02/01/2020 12:00:00 AM;1700;21;Topanga    ;2148;2;940;EXTORTION                                               ;2000 0337                              ;23;F;W;103;ALLEY                                       ;;;AO;Adult Other ;940
232109597;05/27/2023 12:00:00 AM;07/14/2020 12:00:00 AM;1655;21;Topanga    ;2118;2;354;THEFT OF IDENTITY                                       ;1822 0922 0929 0930                    ;52;M;W;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
222108906;05/03/2022 12:00:00 AM;12/31/2020 12:00:00 AM;1220;21;Topanga    ;2133;1;352;PICKPOCKET                                              ;0344                                   ;19;M;H;701;HOSPITAL                                    ;;;IC;Invest Cont ;352
222106975;03/14/2022 12:00:00 AM;08/07/2020 12:00:00 AM;1600;21;Topanga    ;2104;2;354;THEFT OF IDENTITY                                       ;1822 0929                              ;35;M;H;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;354
232113429;08/28/2023 12:00:00 AM;03/01/2020 12:00:00 AM;1200;21;Topanga    ;2155;2;354;THEFT OF IDENTITY                                       ;0377 0930 1822                         ;32;M;B;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;354
232110277;06/12/2023 12:00:00 AM;09/11/2020 12:00:00 AM;1200;21;Topanga    ;2177;2;354;THEFT OF IDENTITY                                       ;1822                                   ;41;M;W;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;354
202112289;08/03/2020 12:00:00 AM;07/30/2020 12:00:00 AM;1400;21;Topanga    ;2113;1;510;VEHICLE - STOLEN                                        ;;0;;;101;STREET                                      ;;;IC;Invest Cont ;510
222113244;08/19/2022 12:00:00 AM;01/20/2020 12:00:00 AM;1;21;Topanga    ;2157;1;420;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;;0;;;101;STREET                                      ;;;IC;Invest Cont ;420
222105110;01/28/2022 12:00:00 AM;09/07/2020 12:00:00 AM;1200;21;Topanga    ;2102;2;354;THEFT OF IDENTITY                                       ;1822 0928                              ;41;M;W;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
222104705;01/22/2022 12:00:00 AM;01/22/2020 12:00:00 AM;400;21;Topanga    ;2128;2;812;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER);0522                                   ;16;M;O;501;SINGLE FAMILY DWELLING                      ;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other ;812
222109748;05/27/2022 12:00:00 AM;03/28/2020 12:00:00 AM;1745;21;Topanga    ;2157;2;956;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 ;1912                                   ;34;M;W;501;SINGLE FAMILY DWELLING                      ;;;AO;Adult Other ;956
222106102;02/25/2022 12:00:00 AM;12/13/2020 12:00:00 AM;1430;21;Topanga    ;2156;2;354;THEFT OF IDENTITY                                       ;1822 0377                              ;-1;M;W;101;STREET                                      ;;;IC;Invest Cont ;354
232112798;08/11/2023 12:00:00 AM;08/11/2020 12:00:00 AM;1755;21;Topanga    ;2146;2;354;THEFT OF IDENTITY                                       ;1822 0917 0929 0930 0923               ;45;F;W;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;354
222107696;04/05/2022 12:00:00 AM;04/15/2020 12:00:00 AM;1200;21;Topanga    ;2105;2;354;THEFT OF IDENTITY                                       ;0377 1822                              ;61;M;O;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
222116012;10/28/2022 12:00:00 AM;08/12/2020 12:00:00 AM;1;21;Topanga    ;2114;2;956;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 ;;21;F;B;501;SINGLE FAMILY DWELLING                      ;;;AO;Adult Other ;956
222115665;10/20/2022 12:00:00 AM;11/18/2020 12:00:00 AM;1200;21;Topanga    ;2187;2;354;THEFT OF IDENTITY                                       ;1822 0917                              ;38;M;W;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;354
222111399;07/07/2022 12:00:00 AM;08/21/2020 12:00:00 AM;1;21;Topanga    ;2148;2;901;VIOLATION OF RESTRAINING ORDER                          ;2038 2000                              ;26;F;H;501;SINGLE FAMILY DWELLING                      ;;;AA;Adult Arrest;901
232104887;01/24/2023 12:00:00 AM;05/20/2020 12:00:00 AM;1830;21;Topanga    ;2173;2;354;THEFT OF IDENTITY                                       ;0930 0928                              ;22;M;O;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
222117263;12/01/2022 12:00:00 AM;01/01/2020 12:00:00 AM;1100;21;Topanga    ;2137;2;354;THEFT OF IDENTITY                                       ;1822 0922                              ;38;M;H;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;354
222105712;02/13/2022 12:00:00 AM;01/01/2020 12:00:00 AM;1010;21;Topanga    ;2103;2;354;THEFT OF IDENTITY                                       ;0928                                   ;25;M;O;504;OTHER RESIDENCE                             ;;;IC;Invest Cont ;354
232108067;04/17/2023 12:00:00 AM;04/17/2020 12:00:00 AM;955;21;Topanga    ;2133;2;354;THEFT OF IDENTITY                                       ;;45;M;B;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
232104840;01/18/2023 12:00:00 AM;12/01/2020 12:00:00 AM;1200;21;Topanga    ;2101;2;627;CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT                 ;0416 0400 0913 0552                    ;14;F;O;501;SINGLE FAMILY DWELLING                      ;500;UNKNOWN WEAPON/OTHER WEAPON                   ;AO;Adult Other ;627
232110766;06/22/2023 12:00:00 AM;09/09/2020 12:00:00 AM;1300;21;Topanga    ;2189;2;662;BUNCO, GRAND THEFT                                      ;;50;F;A;220;NAIL SALON                                  ;;;IC;Invest Cont ;662
212111298;07/12/2021 12:00:00 AM;11/04/2020 12:00:00 AM;900;21;Topanga    ;2196;2;354;THEFT OF IDENTITY                                       ;0377 0928 1202                         ;72;F;W;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
212106349;01/14/2021 12:00:00 AM;10/14/2020 12:00:00 AM;1015;21;Topanga    ;2185;1;341;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;0344                                   ;53;M;W;203;OTHER BUSINESS                              ;;;IC;Invest Cont ;341
222110400;06/11/2022 12:00:00 AM;04/19/2020 12:00:00 AM;1430;21;Topanga    ;2138;2;354;THEFT OF IDENTITY                                       ;1822 0928 0929                         ;33;M;W;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
212115371;10/18/2021 12:00:00 AM;11/19/2020 12:00:00 AM;1717;21;Topanga    ;2157;2;354;THEFT OF IDENTITY                                       ;;65;F;W;605;AUTOMATED TELLER MACHINE (ATM)              ;;;IC;Invest Cont ;354
222115311;10/12/2022 12:00:00 AM;11/19/2020 12:00:00 AM;1200;21;Topanga    ;2107;2;354;THEFT OF IDENTITY                                       ;1822                                   ;51;F;H;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
232110968;06/27/2023 12:00:00 AM;03/01/2020 12:00:00 AM;1100;21;Topanga    ;2128;2;662;BUNCO, GRAND THEFT                                      ;;38;M;A;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;662
222106599;03/09/2022 12:00:00 AM;05/28/2020 12:00:00 AM;1200;21;Topanga    ;2111;2;354;THEFT OF IDENTITY                                       ;0377 0928 1822                         ;57;M;A;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
222117701;12/08/2022 12:00:00 AM;08/01/2020 12:00:00 AM;5;21;Topanga    ;2128;1;235;CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT             ;1259 0552 0408 0429 0913               ;13;F;H;501;SINGLE FAMILY DWELLING                      ;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other ;235
212104482;01/15/2021 12:00:00 AM;12/24/2020 12:00:00 AM;2200;21;Topanga    ;2158;1;330;BURGLARY FROM VEHICLE                                   ;1607 0321 0344                         ;40;F;W;108;PARKING LOT                                 ;;;IC;Invest Cont ;330
232110765;06/22/2023 12:00:00 AM;09/01/2020 12:00:00 AM;1200;21;Topanga    ;2189;2;662;BUNCO, GRAND THEFT                                      ;;55;M;A;220;NAIL SALON                                  ;;;IC;Invest Cont ;662
232104115;01/04/2023 12:00:00 AM;08/06/2020 12:00:00 AM;1;21;Topanga    ;2196;2;649;DOCUMENT FORGERY / STOLEN FELONY                        ;1822                                   ;48;F;W;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;649
