DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME
200907217;05/10/2023 12:00:00 AM;03/10/2020 12:00:00 AM;2037;9;Van Nuys   
220911866;07/26/2022 12:00:00 AM;02/01/2020 12:00:00 AM;505;9;Van Nuys   
220917870;12/31/2022 12:00:00 AM;03/16/2020 12:00:00 AM;1025;9;Van Nuys   
230911729;06/10/2023 12:00:00 AM;04/01/2020 12:00:00 AM;5;9;Van Nuys   
230908117;04/13/2023 12:00:00 AM;07/31/2020 12:00:00 AM;1;9;Van Nuys   
210904288;01/09/2021 12:00:00 AM;12/27/2020 12:00:00 AM;1600;9;Van Nuys   
220910623;06/21/2022 12:00:00 AM;11/19/2020 12:00:00 AM;1;9;Van Nuys   
220909334;05/18/2022 12:00:00 AM;10/01/2020 12:00:00 AM;1400;9;Van Nuys   
220904776;01/22/2022 12:00:00 AM;12/28/2020 12:00:00 AM;1200;9;Van Nuys   
220911160;07/06/2022 12:00:00 AM;03/01/2020 12:00:00 AM;1000;9;Van Nuys   
220908425;04/26/2022 12:00:00 AM;11/20/2020 12:00:00 AM;1600;9;Van Nuys   
230911235;06/29/2023 12:00:00 AM;11/01/2020 12:00:00 AM;600;9;Van Nuys   
210907013;03/16/2021 12:00:00 AM;11/15/2020 12:00:00 AM;1200;9;Van Nuys   
220917253;12/13/2022 12:00:00 AM;12/21/2020 12:00:00 AM;1800;9;Van Nuys   
240904504;01/13/2024 12:00:00 AM;01/13/2020 12:00:00 AM;1150;9;Van Nuys   
220911563;07/14/2022 12:00:00 AM;09/03/2020 12:00:00 AM;1;9;Van Nuys   
230907876;04/07/2023 12:00:00 AM;03/15/2020 12:00:00 AM;800;9;Van Nuys   
210905375;02/05/2021 12:00:00 AM;11/15/2020 12:00:00 AM;1200;9;Van Nuys   
220917252;12/13/2022 12:00:00 AM;12/21/2020 12:00:00 AM;1800;9;Van Nuys   
220917492;12/20/2022 12:00:00 AM;03/20/2020 12:00:00 AM;1100;9;Van Nuys   
220914148;09/22/2022 12:00:00 AM;01/01/2020 12:00:00 AM;800;9;Van Nuys   
200912561;07/20/2020 12:00:00 AM;07/20/2020 12:00:00 AM;700;9;Van Nuys   
240904134;01/04/2024 12:00:00 AM;03/01/2020 12:00:00 AM;900;9;Van Nuys   
200905707;02/08/2020 12:00:00 AM;02/07/2020 12:00:00 AM;2000;9;Van Nuys   
220910848;06/27/2022 12:00:00 AM;10/30/2020 12:00:00 AM;1105;9;Van Nuys   
210906739;03/09/2021 12:00:00 AM;11/16/2020 12:00:00 AM;1200;9;Van Nuys   
210908888;05/04/2021 12:00:00 AM;11/12/2020 12:00:00 AM;1925;9;Van Nuys   
220907962;04/14/2022 12:00:00 AM;01/01/2020 12:00:00 AM;1200;9;Van Nuys   
230904576;01/17/2023 12:00:00 AM;06/25/2020 12:00:00 AM;1700;9;Van Nuys   
220917796;12/28/2022 12:00:00 AM;11/01/2020 12:00:00 AM;1735;9;Van Nuys   
230916996;12/02/2023 12:00:00 AM;07/01/2020 12:00:00 AM;800;9;Van Nuys   
240904082;01/03/2024 12:00:00 AM;07/07/2020 12:00:00 AM;1200;9;Van Nuys   
230905264;02/04/2023 12:00:00 AM;07/04/2020 12:00:00 AM;1155;9;Van Nuys   
220911156;07/06/2022 12:00:00 AM;01/01/2020 12:00:00 AM;1;9;Van Nuys   
220904316;01/10/2022 12:00:00 AM;11/24/2020 12:00:00 AM;1200;9;Van Nuys   
220910836;06/27/2022 12:00:00 AM;06/25/2020 12:00:00 AM;2000;9;Van Nuys   
220909185;05/15/2022 12:00:00 AM;12/01/2020 12:00:00 AM;1;9;Van Nuys   
230912598;08/04/2023 12:00:00 AM;07/22/2020 12:00:00 AM;1100;9;Van Nuys   
230915809;10/30/2023 12:00:00 AM;09/20/2020 12:00:00 AM;300;9;Van Nuys   
220907509;04/03/2022 12:00:00 AM;06/11/2020 12:00:00 AM;845;9;Van Nuys   
220908145;04/19/2022 12:00:00 AM;04/19/2020 12:00:00 AM;850;9;Van Nuys   
220906985;03/21/2022 12:00:00 AM;08/25/2020 12:00:00 AM;1700;9;Van Nuys   
220905654;02/13/2022 12:00:00 AM;02/01/2020 12:00:00 AM;1200;9;Van Nuys   
210907224;03/22/2021 12:00:00 AM;03/22/2020 12:00:00 AM;900;9;Van Nuys   
210904065;01/02/2021 12:00:00 AM;12/30/2020 12:00:00 AM;1200;9;Van Nuys   
220915676;11/02/2022 12:00:00 AM;11/01/2020 12:00:00 AM;2;9;Van Nuys   
230907379;03/24/2023 12:00:00 AM;08/18/2020 12:00:00 AM;1300;9;Van Nuys   
220909751;05/30/2022 12:00:00 AM;11/21/2020 12:00:00 AM;1200;9;Van Nuys   
230909344;05/13/2023 12:00:00 AM;01/01/2020 12:00:00 AM;1200;9;Van Nuys   
230906910;03/14/2023 12:00:00 AM;03/16/2020 12:00:00 AM;1630;9;Van Nuys   
220913632;09/09/2022 12:00:00 AM;02/02/2020 12:00:00 AM;1720;9;Van Nuys   
230911853;07/16/2023 12:00:00 AM;05/05/2020 12:00:00 AM;1;9;Van Nuys   
230916435;11/16/2023 12:00:00 AM;05/15/2020 12:00:00 AM;625;9;Van Nuys   
230914786;10/01/2023 12:00:00 AM;10/01/2020 12:00:00 AM;2200;9;Van Nuys   
220905434;02/06/2022 12:00:00 AM;08/01/2020 12:00:00 AM;2300;9;Van Nuys   
220906820;03/16/2022 12:00:00 AM;03/13/2020 12:00:00 AM;1200;9;Van Nuys   
220909505;05/23/2022 12:00:00 AM;11/20/2020 12:00:00 AM;2055;9;Van Nuys   
230904437;01/12/2023 12:00:00 AM;11/20/2020 12:00:00 AM;1345;9;Van Nuys   
