DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME;Rpt Dist No;Part 1-2;Crm Cd;Crm Cd Desc;Mocodes;Vict Age;Vict Sex;Vict Descent;Premis Cd;Premis Desc;Weapon Used Cd;Weapon Desc;Status;Status Desc;Crm Cd 1
200907217;05/10/2023 12:00:00 AM;03/10/2020 12:00:00 AM;2037;9;Van Nuys   ;964;1;343;SHOPLIFTING-GRAND THEFT ($950.01 & OVER)                ;0325 1501                              ;19;M;O;405;CLOTHING STORE                              ;;;IC;Invest Cont ;343
220911866;07/26/2022 12:00:00 AM;02/01/2020 12:00:00 AM;505;9;Van Nuys   ;971;2;354;THEFT OF IDENTITY                                       ;0922 0929 0923 0930                    ;34;F;W;605;AUTOMATED TELLER MACHINE (ATM)              ;;;IC;Invest Cont ;354
220917870;12/31/2022 12:00:00 AM;03/16/2020 12:00:00 AM;1025;9;Van Nuys   ;929;2;354;THEFT OF IDENTITY                                       ;0100 0928 0344 1822                    ;41;F;O;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
230911729;06/10/2023 12:00:00 AM;04/01/2020 12:00:00 AM;5;9;Van Nuys   ;911;2;354;THEFT OF IDENTITY                                       ;1822 0100 0923                         ;56;F;H;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
230908117;04/13/2023 12:00:00 AM;07/31/2020 12:00:00 AM;1;9;Van Nuys   ;989;2;354;THEFT OF IDENTITY                                       ;1501                                   ;41;M;W;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
210904288;01/09/2021 12:00:00 AM;12/27/2020 12:00:00 AM;1600;9;Van Nuys   ;964;1;442;SHOPLIFTING - PETTY THEFT ($950 & UNDER)                ;0325 1420                              ;22;F;W;405;CLOTHING STORE                              ;;;IC;Invest Cont ;442
220910623;06/21/2022 12:00:00 AM;11/19/2020 12:00:00 AM;1;9;Van Nuys   ;939;2;354;THEFT OF IDENTITY                                       ;1822 0917                              ;53;F;W;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;354
220909334;05/18/2022 12:00:00 AM;10/01/2020 12:00:00 AM;1400;9;Van Nuys   ;971;2;354;THEFT OF IDENTITY                                       ;1822                                   ;47;M;W;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
220904776;01/22/2022 12:00:00 AM;12/28/2020 12:00:00 AM;1200;9;Van Nuys   ;974;1;310;BURGLARY                                                ;0397 0344                              ;48;M;W;221;PUBLIC STORAGE                              ;;;IC;Invest Cont ;310
220911160;07/06/2022 12:00:00 AM;03/01/2020 12:00:00 AM;1000;9;Van Nuys   ;923;2;354;THEFT OF IDENTITY                                       ;1822 1202 0929                         ;59;M;O;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;354
220908425;04/26/2022 12:00:00 AM;11/20/2020 12:00:00 AM;1600;9;Van Nuys   ;952;1;310;BURGLARY                                                ;0344 1601                              ;50;F;H;221;PUBLIC STORAGE                              ;;;IC;Invest Cont ;310
230911235;06/29/2023 12:00:00 AM;11/01/2020 12:00:00 AM;600;9;Van Nuys   ;964;2;354;THEFT OF IDENTITY                                       ;0377                                   ;46;M;O;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
210907013;03/16/2021 12:00:00 AM;11/15/2020 12:00:00 AM;1200;9;Van Nuys   ;931;2;940;EXTORTION                                               ;1202 0337                              ;59;M;O;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;940
220917253;12/13/2022 12:00:00 AM;12/21/2020 12:00:00 AM;1800;9;Van Nuys   ;916;2;626;INTIMATE PARTNER - SIMPLE ASSAULT                       ;1813 2000 0416 0419                    ;20;F;H;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other ;626
240904504;01/13/2024 12:00:00 AM;01/13/2020 12:00:00 AM;1150;9;Van Nuys   ;955;2;354;THEFT OF IDENTITY                                       ;1822 0930                              ;33;F;W;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
220911563;07/14/2022 12:00:00 AM;09/03/2020 12:00:00 AM;1;9;Van Nuys   ;935;2;354;THEFT OF IDENTITY                                       ;0935 0929 0922                         ;33;F;B;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;354
230907876;04/07/2023 12:00:00 AM;03/15/2020 12:00:00 AM;800;9;Van Nuys   ;935;1;440;THEFT PLAIN - PETTY ($950 & UNDER)                      ;0344                                   ;52;M;W;710;OTHER PREMISE                               ;;;IC;Invest Cont ;440
210905375;02/05/2021 12:00:00 AM;11/15/2020 12:00:00 AM;1200;9;Van Nuys   ;914;1;420;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;;0;;;101;STREET                                      ;;;IC;Invest Cont ;420
220917252;12/13/2022 12:00:00 AM;12/21/2020 12:00:00 AM;1800;9;Van Nuys   ;916;2;627;CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT                 ;1258 0552 0416                         ;5;M;H;501;SINGLE FAMILY DWELLING                      ;301;BELT FLAILING INSTRUMENT/CHAIN                ;AO;Adult Other ;627
220917492;12/20/2022 12:00:00 AM;03/20/2020 12:00:00 AM;1100;9;Van Nuys   ;929;2;354;THEFT OF IDENTITY                                       ;1822 0929                              ;41;F;O;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;354
220914148;09/22/2022 12:00:00 AM;01/01/2020 12:00:00 AM;800;9;Van Nuys   ;943;2;354;THEFT OF IDENTITY                                       ;1822                                   ;59;M;O;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
200912561;07/20/2020 12:00:00 AM;07/20/2020 12:00:00 AM;700;9;Van Nuys   ;937;1;510;VEHICLE - STOLEN                                        ;;0;;;101;STREET                                      ;;;IC;Invest Cont ;510
240904134;01/04/2024 12:00:00 AM;03/01/2020 12:00:00 AM;900;9;Van Nuys   ;926;2;901;VIOLATION OF RESTRAINING ORDER                          ;2038 1501                              ;30;F;O;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;901
200905707;02/08/2020 12:00:00 AM;02/07/2020 12:00:00 AM;2000;9;Van Nuys   ;939;1;510;VEHICLE - STOLEN                                        ;;0;;;101;STREET                                      ;;;AO;Adult Other ;510
220910848;06/27/2022 12:00:00 AM;10/30/2020 12:00:00 AM;1105;9;Van Nuys   ;909;2;354;THEFT OF IDENTITY                                       ;1822                                   ;59;F;H;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;354
