DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME;Rpt Dist No;Part 1-2;Crm Cd;Crm Cd Desc;Mocodes;Vict Age;Vict Sex;Vict Descent;Premis Cd;Premis Desc;Weapon Used Cd;Weapon Desc;Status;Status Desc;Crm Cd 1
230808643;04/25/2023 12:00:00 AM;01/01/2020 12:00:00 AM;800;8;West LA    ;801;1;341;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;0352 1822 0344                         ;56;F;W;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;341
220808837;04/28/2022 12:00:00 AM;03/30/2020 12:00:00 AM;1630;8;West LA    ;842;2;624;BATTERY - SIMPLE ASSAULT                                ;2000 1813 0913 0416                    ;24;F;O;501;SINGLE FAMILY DWELLING                      ;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont ;624
230817493;11/27/2023 12:00:00 AM;09/13/2020 12:00:00 AM;2100;8;West LA    ;829;2;626;INTIMATE PARTNER - SIMPLE ASSAULT                       ;1814 0913 0400                         ;42;F;H;501;SINGLE FAMILY DWELLING                      ;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont ;626
230813464;07/22/2023 12:00:00 AM;10/01/2020 12:00:00 AM;1755;8;West LA    ;828;2;354;THEFT OF IDENTITY                                       ;1501                                   ;25;F;W;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;354
230818547;12/26/2023 12:00:00 AM;10/21/2020 12:00:00 AM;1435;8;West LA    ;842;2;354;THEFT OF IDENTITY                                       ;0935                                   ;0;X;X;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
220817021;11/18/2022 12:00:00 AM;11/17/2020 12:00:00 AM;2330;8;West LA    ;839;2;930;CRIMINAL THREATS - NO WEAPON DISPLAYED                  ;0421                                   ;32;M;H;203;OTHER BUSINESS                              ;511;VERBAL THREAT                                 ;IC;Invest Cont ;930
210805061;12/24/2020 12:00:00 AM;12/23/2020 12:00:00 AM;1200;8;West LA    ;823;1;331;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     ;0344 1822 1202 0385                    ;62;M;W;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;331
230818509;11/20/2023 12:00:00 AM;01/01/2020 12:00:00 AM;700;8;West LA    ;823;1;341;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;0601 1822                              ;44;F;W;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;341
220804051;12/11/2021 12:00:00 AM;01/18/2020 12:00:00 AM;910;8;West LA    ;882;2;956;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 ;1906 0913                              ;37;F;W;501;SINGLE FAMILY DWELLING                      ;;;AO;Adult Other ;956
230809796;05/17/2023 12:00:00 AM;09/26/2020 12:00:00 AM;800;8;West LA    ;882;2;354;THEFT OF IDENTITY                                       ;1202 0100 0928 1822                    ;70;M;W;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
220814938;09/25/2022 12:00:00 AM;08/22/2020 12:00:00 AM;1800;8;West LA    ;806;1;442;SHOPLIFTING - PETTY THEFT ($950 & UNDER)                ;1822 0344 1300                         ;42;M;W;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;442
220813413;08/17/2022 12:00:00 AM;03/17/2020 12:00:00 AM;1555;8;West LA    ;851;2;354;THEFT OF IDENTITY                                       ;0929 0923 0930                         ;56;M;A;751;WEBSITE                                     ;;;IC;Invest Cont ;354
210805827;02/16/2021 12:00:00 AM;02/16/2020 12:00:00 AM;430;8;West LA    ;852;1;310;BURGLARY                                                ;1606 0344 0330 2004 1402 1420 0321     ;41;M;W;108;PARKING LOT                                 ;;;AA;Adult Arrest;310
220818200;12/15/2022 12:00:00 AM;01/01/2020 12:00:00 AM;800;8;West LA    ;859;2;354;THEFT OF IDENTITY                                       ;1822 0100                              ;53;M;A;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;354
210804049;01/02/2021 12:00:00 AM;12/04/2020 12:00:00 AM;2200;8;West LA    ;884;1;480;BIKE - STOLEN                                           ;1822 1602 0397 0344                    ;32;M;W;108;PARKING LOT                                 ;;;IC;Invest Cont ;480
220806369;02/28/2022 12:00:00 AM;01/01/2020 12:00:00 AM;1200;8;West LA    ;805;1;341;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;1822 0701 1202 0100 1916 1908 1914 1702;82;F;W;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;341
220815553;10/14/2022 12:00:00 AM;08/10/2020 12:00:00 AM;1000;8;West LA    ;842;2;354;THEFT OF IDENTITY                                       ;0928 1822                              ;47;M;W;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;354
