DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME;Rpt Dist No;Part 1-2;Crm Cd;Crm Cd Desc;Mocodes;Vict Age;Vict Sex;Vict Descent;Premis Cd;Premis Desc;Weapon Used Cd;Weapon Desc;Status;Status Desc;Crm Cd 1
221008844;05/06/2022 12:00:00 AM;11/01/2020 12:00:00 AM;130;10;West Valley;1029;1;510;VEHICLE - STOLEN                                        ;;0;;;101;STREET                                      ;;;IC;Invest Cont ;510
221016258;09/20/2022 12:00:00 AM;01/01/2020 12:00:00 AM;1;10;West Valley;1067;2;956;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 ;2041 1906 1822                         ;30;F;O;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;956
221016530;11/15/2022 12:00:00 AM;10/23/2020 12:00:00 AM;1735;10;West Valley;1045;2;354;THEFT OF IDENTITY                                       ;1822 0935 1202                         ;65;M;W;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
231007464;03/30/2023 12:00:00 AM;06/25/2020 12:00:00 AM;1225;10;West Valley;1015;2;354;THEFT OF IDENTITY                                       ;1822 0929                              ;28;F;H;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
221017007;11/28/2022 12:00:00 AM;04/23/2020 12:00:00 AM;1;10;West Valley;1041;2;354;THEFT OF IDENTITY                                       ;1822                                   ;44;F;W;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
221006046;02/24/2022 12:00:00 AM;11/19/2020 12:00:00 AM;1200;10;West Valley;1025;2;354;THEFT OF IDENTITY                                       ;1822 1908                              ;69;F;O;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;354
221004804;01/23/2022 12:00:00 AM;11/23/2020 12:00:00 AM;1435;10;West Valley;1063;2;354;THEFT OF IDENTITY                                       ;1822                                   ;61;M;B;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;354
221016479;11/14/2022 12:00:00 AM;07/24/2020 12:00:00 AM;1500;10;West Valley;1017;1;761;BRANDISH WEAPON                                         ;1202 1822 0334                         ;59;F;H;102;SIDEWALK                                    ;500;UNKNOWN WEAPON/OTHER WEAPON                   ;IC;Invest Cont ;761
221011289;07/05/2022 12:00:00 AM;03/01/2020 12:00:00 AM;1200;10;West Valley;1001;2;626;INTIMATE PARTNER - SIMPLE ASSAULT                       ;2000 1813 0416                         ;43;M;H;101;STREET                                      ;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AA;Adult Arrest;626
221015665;10/25/2022 12:00:00 AM;06/09/2020 12:00:00 AM;1535;10;West Valley;1023;2;354;THEFT OF IDENTITY                                       ;1822 0928                              ;25;F;H;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;354
