DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME;Rpt Dist No;Part 1-2;Crm Cd;Crm Cd Desc;Mocodes;Vict Age;Vict Sex;Vict Descent;Premis Cd;Premis Desc;Weapon Used Cd;Weapon Desc;Status;Status Desc;Crm Cd 1
190326475;03/01/2020 12:00:00 AM;03/01/2020 12:00:00 AM;2130;7;Wilshire   ;784;1;510;VEHICLE - STOLEN                                        ;;0;M;O;101;STREET                                      ;;;AA;Adult Arrest;510
210705560;11/27/2020 12:00:00 AM;11/27/2020 12:00:00 AM;1800;7;Wilshire   ;776;1;230;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;1309 0400                              ;31;F;O;101;STREET                                      ;307;VEHICLE                                       ;AA;Adult Arrest;230
220705246;02/03/2022 12:00:00 AM;02/11/2020 12:00:00 AM;1200;7;Wilshire   ;747;1;341;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;;57;F;B;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;341
230711357;06/26/2023 12:00:00 AM;01/01/2020 12:00:00 AM;1;7;Wilshire   ;774;2;354;THEFT OF IDENTITY                                       ;1501                                   ;32;F;H;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;354
230714162;09/02/2023 12:00:00 AM;08/03/2020 12:00:00 AM;1908;7;Wilshire   ;783;2;354;THEFT OF IDENTITY                                       ;1822 0922 0100                         ;18;M;B;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
230710696;06/11/2023 12:00:00 AM;12/17/2020 12:00:00 AM;1;7;Wilshire   ;722;2;354;THEFT OF IDENTITY                                       ;0923 0930 1822 0928                    ;26;F;H;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;354
220706120;02/23/2022 12:00:00 AM;10/13/2020 12:00:00 AM;900;7;Wilshire   ;702;2;354;THEFT OF IDENTITY                                       ;0929                                   ;27;F;B;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
210704053;12/31/2020 12:00:00 AM;12/31/2020 12:00:00 AM;400;7;Wilshire   ;722;1;310;BURGLARY                                                ;1822 0344 1607 1300                    ;31;F;W;707;GARAGE/CARPORT                              ;;;IC;Invest Cont ;310
220717687;12/12/2022 12:00:00 AM;02/12/2020 12:00:00 AM;840;7;Wilshire   ;714;2;354;THEFT OF IDENTITY                                       ;1822 0100                              ;26;M;W;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
220712955;08/16/2022 12:00:00 AM;11/08/2020 12:00:00 AM;1005;7;Wilshire   ;722;1;440;THEFT PLAIN - PETTY ($950 & UNDER)                      ;0344 0913                              ;59;F;O;707;GARAGE/CARPORT                              ;;;IC;Invest Cont ;440
230710300;09/22/2022 12:00:00 AM;07/26/2020 12:00:00 AM;1200;7;Wilshire   ;701;2;662;BUNCO, GRAND THEFT                                      ;0344                                   ;34;F;W;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;662
220717203;11/30/2022 12:00:00 AM;03/01/2020 12:00:00 AM;945;7;Wilshire   ;725;2;354;THEFT OF IDENTITY                                       ;0100 1822                              ;54;F;J;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;354
220712765;08/11/2022 12:00:00 AM;03/20/2020 12:00:00 AM;1015;7;Wilshire   ;773;2;354;THEFT OF IDENTITY                                       ;0930                                   ;28;F;B;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
230707560;03/24/2023 12:00:00 AM;03/20/2020 12:00:00 AM;2030;7;Wilshire   ;759;2;662;BUNCO, GRAND THEFT                                      ;0701 0800                              ;43;M;H;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;662
230708191;04/07/2023 12:00:00 AM;08/30/2020 12:00:00 AM;1635;7;Wilshire   ;736;2;354;THEFT OF IDENTITY                                       ;1822                                   ;48;F;W;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
230710560;06/08/2023 12:00:00 AM;06/01/2020 12:00:00 AM;200;7;Wilshire   ;752;1;121;RAPE, FORCIBLE                                          ;0448 0527 0305 0340 1268 0416 1822 2004;18;F;B;103;ALLEY                                       ;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont ;121
230710295;05/31/2023 12:00:00 AM;01/01/2020 12:00:00 AM;1200;7;Wilshire   ;753;2;956;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 ;2000 1814 1906                         ;29;F;B;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;AO;Adult Other ;956
230714761;09/18/2023 12:00:00 AM;06/16/2020 12:00:00 AM;1445;7;Wilshire   ;758;2;354;THEFT OF IDENTITY                                       ;0930                                   ;33;F;J;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
220705297;02/04/2022 12:00:00 AM;11/01/2020 12:00:00 AM;1255;7;Wilshire   ;736;2;354;THEFT OF IDENTITY                                       ;0344                                   ;44;F;H;145;MAIL BOX                                    ;;;IC;Invest Cont ;354
220705715;02/15/2022 12:00:00 AM;08/15/2020 12:00:00 AM;815;7;Wilshire   ;762;2;354;THEFT OF IDENTITY                                       ;1822 0930 0922                         ;27;M;B;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
230704658;01/16/2023 12:00:00 AM;05/11/2020 12:00:00 AM;750;7;Wilshire   ;774;2;354;THEFT OF IDENTITY                                       ;0100 1822                              ;32;F;B;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;354
230714857;09/20/2023 12:00:00 AM;07/20/2020 12:00:00 AM;1435;7;Wilshire   ;758;2;354;THEFT OF IDENTITY                                       ;1822                                   ;33;F;J;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;354
230716588;11/01/2023 12:00:00 AM;10/31/2020 12:00:00 AM;1630;7;Wilshire   ;776;2;626;INTIMATE PARTNER - SIMPLE ASSAULT                       ;2000 0416 1814 1810                    ;50;F;W;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont ;626
220704424;01/11/2022 12:00:00 AM;03/01/2020 12:00:00 AM;1425;7;Wilshire   ;733;1;341;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;1822 0344                              ;32;F;W;702;OFFICE BUILDING/OFFICE                      ;;;IC;Invest Cont ;341
220705842;02/18/2022 12:00:00 AM;12/20/2020 12:00:00 AM;1200;7;Wilshire   ;758;1;440;THEFT PLAIN - PETTY ($950 & UNDER)                      ;0344                                   ;65;M;O;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;440
220710510;06/16/2022 12:00:00 AM;07/01/2020 12:00:00 AM;1;7;Wilshire   ;742;2;668;EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)              ;0344 1803                              ;19;X;X;203;OTHER BUSINESS                              ;;;IC;Invest Cont ;668
220704526;01/16/2022 12:00:00 AM;10/01/2020 12:00:00 AM;1200;7;Wilshire   ;702;2;354;THEFT OF IDENTITY                                       ;0923 0926 0928 0929                    ;36;F;W;505;MOTEL                                       ;;;IC;Invest Cont ;354
220706832;03/16/2022 12:00:00 AM;01/01/2020 12:00:00 AM;1;7;Wilshire   ;782;2;668;EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)              ;;0;;;203;OTHER BUSINESS                              ;;;IC;Invest Cont ;668
220707271;03/27/2022 12:00:00 AM;05/29/2020 12:00:00 AM;1200;7;Wilshire   ;752;2;354;THEFT OF IDENTITY                                       ;0929 1822                              ;53;M;B;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
230718552;12/16/2023 12:00:00 AM;08/17/2020 12:00:00 AM;1730;7;Wilshire   ;747;2;354;THEFT OF IDENTITY                                       ;1822 0100                              ;60;M;O;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
210709140;05/28/2021 12:00:00 AM;05/28/2020 12:00:00 AM;45;7;Wilshire   ;743;1;510;VEHICLE - STOLEN                                        ;;0;;;101;STREET                                      ;;;IC;Invest Cont ;510
220709413;03/10/2022 12:00:00 AM;01/20/2020 12:00:00 AM;2359;7;Wilshire   ;743;1;121;RAPE, FORCIBLE                                          ;1206 0408 0513 0913 0448 0527 0444 2002;22;F;H;501;SINGLE FAMILY DWELLING                      ;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont ;121
220705301;02/03/2022 12:00:00 AM;07/14/2020 12:00:00 AM;1705;7;Wilshire   ;755;2;354;THEFT OF IDENTITY                                       ;0929 1822                              ;34;M;H;203;OTHER BUSINESS                              ;;;IC;Invest Cont ;354
220715286;10/13/2022 12:00:00 AM;06/01/2020 12:00:00 AM;2359;7;Wilshire   ;722;2;886;DISTURBING THE PEACE                                    ;0342 0913 0603                         ;59;F;W;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;886
220711710;07/15/2022 12:00:00 AM;03/04/2020 12:00:00 AM;2220;7;Wilshire   ;732;2;354;THEFT OF IDENTITY                                       ;0100 1822                              ;66;M;W;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
210708528;05/07/2021 12:00:00 AM;04/07/2020 12:00:00 AM;620;7;Wilshire   ;789;2;900;VIOLATION OF COURT ORDER                                ;2038                                   ;71;F;B;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;900
220710103;06/06/2022 12:00:00 AM;08/01/2020 12:00:00 AM;1200;7;Wilshire   ;733;2;956;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 ;1906                                   ;30;F;A;501;SINGLE FAMILY DWELLING                      ;;;AO;Adult Other ;956
220709236;05/15/2022 12:00:00 AM;10/28/2020 12:00:00 AM;1200;7;Wilshire   ;734;2;354;THEFT OF IDENTITY                                       ;0928 0931                              ;33;F;K;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
210705163;12/26/2020 12:00:00 AM;12/18/2020 12:00:00 AM;1830;7;Wilshire   ;734;1;440;THEFT PLAIN - PETTY ($950 & UNDER)                      ;0344 0394                              ;22;M;W;125;PAY PHONE                                   ;;;IC;Invest Cont ;440
220707275;03/27/2022 12:00:00 AM;06/07/2020 12:00:00 AM;1200;7;Wilshire   ;742;2;434;FALSE IMPRISONMENT                                      ;1501 1822                              ;59;F;W;203;OTHER BUSINESS                              ;;;IC;Invest Cont ;434
230706782;03/01/2023 12:00:00 AM;07/12/2020 12:00:00 AM;1925;7;Wilshire   ;726;2;354;THEFT OF IDENTITY                                       ;0928 1822 0100                         ;47;F;W;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
230704850;01/21/2023 12:00:00 AM;01/23/2020 12:00:00 AM;1000;7;Wilshire   ;737;1;420;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;;0;;;101;STREET                                      ;;;IC;Invest Cont ;420
220718228;12/25/2022 12:00:00 AM;07/21/2020 12:00:00 AM;120;7;Wilshire   ;773;2;354;THEFT OF IDENTITY                                       ;0922                                   ;55;F;B;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;354
220710490;04/09/2022 12:00:00 AM;08/20/2020 12:00:00 AM;2144;7;Wilshire   ;759;2;354;THEFT OF IDENTITY                                       ;0929 0922                              ;44;F;W;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;354
220717331;12/03/2022 12:00:00 AM;11/18/2020 12:00:00 AM;1350;7;Wilshire   ;782;1;440;THEFT PLAIN - PETTY ($950 & UNDER)                      ;0344 1822                              ;46;F;P;122;VEHICLE, PASSENGER/TRUCK                    ;;;IC;Invest Cont ;440
210704126;01/04/2021 12:00:00 AM;12/20/2020 12:00:00 AM;1145;7;Wilshire   ;782;1;310;BURGLARY                                                ;0344                                   ;42;M;H;203;OTHER BUSINESS                              ;;;IC;Invest Cont ;310
220704125;01/03/2022 12:00:00 AM;11/01/2020 12:00:00 AM;1200;7;Wilshire   ;775;1;331;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     ;0344 0346                              ;23;F;H;108;PARKING LOT                                 ;;;IC;Invest Cont ;331
220708237;04/20/2022 12:00:00 AM;12/21/2020 12:00:00 AM;1200;7;Wilshire   ;773;2;354;THEFT OF IDENTITY                                       ;1822                                   ;19;M;B;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;354
