DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME
232112438;08/03/2023 12:00:00 AM;07/01/2020 12:00:00 AM;1200;21;Topanga    
222106031;02/23/2022 12:00:00 AM;08/14/2020 12:00:00 AM;1300;21;Topanga    
232112058;07/25/2023 12:00:00 AM;04/26/2020 12:00:00 AM;2110;21;Topanga    
222114709;09/26/2022 12:00:00 AM;06/19/2020 12:00:00 AM;600;21;Topanga    
232110833;06/23/2023 12:00:00 AM;06/01/2020 12:00:00 AM;1200;21;Topanga    
232117501;12/09/2023 12:00:00 AM;05/10/2020 12:00:00 AM;1645;21;Topanga    
232110125;06/08/2023 12:00:00 AM;04/27/2020 12:00:00 AM;1400;21;Topanga    
222104573;01/18/2022 12:00:00 AM;08/07/2020 12:00:00 AM;1155;21;Topanga    
232104037;01/02/2023 12:00:00 AM;02/01/2020 12:00:00 AM;1700;21;Topanga    
232109597;05/27/2023 12:00:00 AM;07/14/2020 12:00:00 AM;1655;21;Topanga    
222108906;05/03/2022 12:00:00 AM;12/31/2020 12:00:00 AM;1220;21;Topanga    
222106975;03/14/2022 12:00:00 AM;08/07/2020 12:00:00 AM;1600;21;Topanga    
232113429;08/28/2023 12:00:00 AM;03/01/2020 12:00:00 AM;1200;21;Topanga    
232110277;06/12/2023 12:00:00 AM;09/11/2020 12:00:00 AM;1200;21;Topanga    
202112289;08/03/2020 12:00:00 AM;07/30/2020 12:00:00 AM;1400;21;Topanga    
222113244;08/19/2022 12:00:00 AM;01/20/2020 12:00:00 AM;1;21;Topanga    
222105110;01/28/2022 12:00:00 AM;09/07/2020 12:00:00 AM;1200;21;Topanga    
222104705;01/22/2022 12:00:00 AM;01/22/2020 12:00:00 AM;400;21;Topanga    
222109748;05/27/2022 12:00:00 AM;03/28/2020 12:00:00 AM;1745;21;Topanga    
222106102;02/25/2022 12:00:00 AM;12/13/2020 12:00:00 AM;1430;21;Topanga    
232112798;08/11/2023 12:00:00 AM;08/11/2020 12:00:00 AM;1755;21;Topanga    
222107696;04/05/2022 12:00:00 AM;04/15/2020 12:00:00 AM;1200;21;Topanga    
222116012;10/28/2022 12:00:00 AM;08/12/2020 12:00:00 AM;1;21;Topanga    
222115665;10/20/2022 12:00:00 AM;11/18/2020 12:00:00 AM;1200;21;Topanga    
222111399;07/07/2022 12:00:00 AM;08/21/2020 12:00:00 AM;1;21;Topanga    
232104887;01/24/2023 12:00:00 AM;05/20/2020 12:00:00 AM;1830;21;Topanga    
222117263;12/01/2022 12:00:00 AM;01/01/2020 12:00:00 AM;1100;21;Topanga    
222105712;02/13/2022 12:00:00 AM;01/01/2020 12:00:00 AM;1010;21;Topanga    
232108067;04/17/2023 12:00:00 AM;04/17/2020 12:00:00 AM;955;21;Topanga    
232104840;01/18/2023 12:00:00 AM;12/01/2020 12:00:00 AM;1200;21;Topanga    
232110766;06/22/2023 12:00:00 AM;09/09/2020 12:00:00 AM;1300;21;Topanga    
212111298;07/12/2021 12:00:00 AM;11/04/2020 12:00:00 AM;900;21;Topanga    
212106349;01/14/2021 12:00:00 AM;10/14/2020 12:00:00 AM;1015;21;Topanga    
222110400;06/11/2022 12:00:00 AM;04/19/2020 12:00:00 AM;1430;21;Topanga    
212115371;10/18/2021 12:00:00 AM;11/19/2020 12:00:00 AM;1717;21;Topanga    
222115311;10/12/2022 12:00:00 AM;11/19/2020 12:00:00 AM;1200;21;Topanga    
232110968;06/27/2023 12:00:00 AM;03/01/2020 12:00:00 AM;1100;21;Topanga    
222106599;03/09/2022 12:00:00 AM;05/28/2020 12:00:00 AM;1200;21;Topanga    
222117701;12/08/2022 12:00:00 AM;08/01/2020 12:00:00 AM;5;21;Topanga    
212104482;01/15/2021 12:00:00 AM;12/24/2020 12:00:00 AM;2200;21;Topanga    
232110765;06/22/2023 12:00:00 AM;09/01/2020 12:00:00 AM;1200;21;Topanga    
232104115;01/04/2023 12:00:00 AM;08/06/2020 12:00:00 AM;1;21;Topanga    
202107032;03/07/2020 12:00:00 AM;03/06/2020 12:00:00 AM;1900;21;Topanga    
222104737;01/21/2022 12:00:00 AM;03/28/2020 12:00:00 AM;700;21;Topanga    
232110105;06/08/2023 12:00:00 AM;07/08/2020 12:00:00 AM;1045;21;Topanga    
232114862;10/03/2023 12:00:00 AM;12/31/2020 12:00:00 AM;2359;21;Topanga    
232111546;07/11/2023 12:00:00 AM;08/22/2020 12:00:00 AM;2140;21;Topanga    
222104158;01/05/2022 12:00:00 AM;07/01/2020 12:00:00 AM;1310;21;Topanga    
222112528;08/02/2022 12:00:00 AM;11/11/2020 12:00:00 AM;1455;21;Topanga    
232116039;11/02/2023 12:00:00 AM;09/17/2020 12:00:00 AM;1050;21;Topanga    
232114822;10/02/2023 12:00:00 AM;10/02/2020 12:00:00 AM;1905;21;Topanga    
222108260;04/21/2022 12:00:00 AM;05/26/2020 12:00:00 AM;1200;21;Topanga    
232113073;08/14/2023 12:00:00 AM;09/15/2020 12:00:00 AM;1505;21;Topanga    
212105668;02/18/2021 12:00:00 AM;12/30/2020 12:00:00 AM;1800;21;Topanga    
232105189;02/03/2023 12:00:00 AM;03/03/2020 12:00:00 AM;1200;21;Topanga    
222110428;06/11/2022 12:00:00 AM;06/11/2020 12:00:00 AM;1700;21;Topanga    
222117980;12/20/2022 12:00:00 AM;06/17/2020 12:00:00 AM;1200;21;Topanga    
222109556;05/23/2022 12:00:00 AM;06/12/2020 12:00:00 AM;800;21;Topanga    
232107207;03/27/2023 12:00:00 AM;01/27/2020 12:00:00 AM;1245;21;Topanga    
232117739;12/16/2023 12:00:00 AM;10/30/2020 12:00:00 AM;1230;21;Topanga    
232111066;06/23/2023 12:00:00 AM;01/01/2020 12:00:00 AM;1200;21;Topanga    
232105902;02/21/2023 12:00:00 AM;08/17/2020 12:00:00 AM;1200;21;Topanga    
222108039;04/15/2022 12:00:00 AM;01/01/2020 12:00:00 AM;800;21;Topanga    
232109956;06/04/2023 12:00:00 AM;09/01/2020 12:00:00 AM;1607;21;Topanga    
222104384;01/12/2022 12:00:00 AM;03/08/2020 12:00:00 AM;2200;21;Topanga    
222107379;03/28/2022 12:00:00 AM;03/14/2020 12:00:00 AM;1645;21;Topanga    
222107154;03/22/2022 12:00:00 AM;05/05/2020 12:00:00 AM;1800;21;Topanga    
232110777;06/21/2023 12:00:00 AM;09/16/2020 12:00:00 AM;1018;21;Topanga    
222108779;05/03/2022 12:00:00 AM;06/30/2020 12:00:00 AM;1300;21;Topanga    
222104171;12/28/2021 12:00:00 AM;02/16/2020 12:00:00 AM;1350;21;Topanga    
212109286;05/25/2021 12:00:00 AM;04/01/2020 12:00:00 AM;2020;21;Topanga    
232111989;07/20/2023 12:00:00 AM;07/01/2020 12:00:00 AM;1800;21;Topanga    
222110021;06/02/2022 12:00:00 AM;01/01/2020 12:00:00 AM;1;21;Topanga    
232104876;01/17/2023 12:00:00 AM;05/18/2020 12:00:00 AM;1130;21;Topanga    
222111393;07/06/2022 12:00:00 AM;01/01/2020 12:00:00 AM;1;21;Topanga    
222118259;12/29/2022 12:00:00 AM;04/01/2020 12:00:00 AM;800;21;Topanga    
232112279;07/29/2023 12:00:00 AM;07/29/2020 12:00:00 AM;1500;21;Topanga    
232105774;02/17/2023 12:00:00 AM;11/14/2020 12:00:00 AM;2000;21;Topanga    
232109543;05/26/2023 12:00:00 AM;10/01/2020 12:00:00 AM;1200;21;Topanga    
222104182;01/04/2022 12:00:00 AM;11/27/2020 12:00:00 AM;1200;21;Topanga    
212104247;01/07/2021 12:00:00 AM;12/24/2020 12:00:00 AM;1600;21;Topanga    
232111063;06/23/2023 12:00:00 AM;01/01/2020 12:00:00 AM;1200;21;Topanga    
222118049;12/22/2022 12:00:00 AM;07/15/2020 12:00:00 AM;1200;21;Topanga    
222114791;09/20/2022 12:00:00 AM;11/01/2020 12:00:00 AM;800;21;Topanga    
202113531;09/06/2020 12:00:00 AM;09/05/2020 12:00:00 AM;1500;21;Topanga    
